file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,matched_year,matched_qno,ocr_derived
UPSCCSEMains2013ALL.json,2013,GS1,1,1,1,208,unverifiable,50.0,2025,12,false
UPSCCSEMains2013ALL.json,2013,GS1,2,2,2,85,unverifiable,57.1,2024,,false
UPSCCSEMains2013ALL.json,2013,GS1,3,3,3,100,unverifiable,54.1,2024,11,false
UPSCCSEMains2013ALL.json,2013,GS1,4,4,4,117,unverifiable,53.1,2025,5,false
UPSCCSEMains2013ALL.json,2013,GS1,5,5,5,96,unverifiable,52.0,2025,9,false
UPSCCSEMains2013ALL.json,2013,GS1,6,6,6,129,unverifiable,53.5,2024,,false
UPSCCSEMains2013ALL.json,2013,GS1,7,7,7,117,unverifiable,55.7,2015,5,false
UPSCCSEMains2013ALL.json,2013,GS1,8,8,8,126,unverifiable,50.2,2025,20,false
UPSCCSEMains2013ALL.json,2013,GS1,9,9,9,80,unverifiable,60.8,2022,4,false
UPSCCSEMains2013ALL.json,2013,GS1,10,10,10,85,unverifiable,56.1,2022,15,false
UPSCCSEMains2013ALL.json,2013,GS1,11,11,11,106,unverifiable,55.8,2015,6,false
UPSCCSEMains2013ALL.json,2013,GS1,12,12,12,102,unverifiable,63.2,2025,13,false
UPSCCSEMains2013ALL.json,2013,GS1,13,13,13,94,unverifiable,54.3,2025,12,false
UPSCCSEMains2013ALL.json,2013,GS1,14,14,14,86,unverifiable,58.7,2024,13,false
UPSCCSEMains2013ALL.json,2013,GS1,15,15,15,63,unverifiable,61.3,2015,,false
UPSCCSEMains2013ALL.json,2013,GS1,16,16,16,99,unverifiable,64.3,2025,3,false
UPSCCSEMains2013ALL.json,2013,GS1,17,17,17,75,unverifiable,59.2,2024,7,false
UPSCCSEMains2013ALL.json,2013,GS1,18,18,18,68,unverifiable,61.2,2025,3,false
UPSCCSEMains2013ALL.json,2013,GS1,19,19,19,68,unverifiable,65.7,2025,6,false
UPSCCSEMains2013ALL.json,2013,GS1,20,20,20,99,unverifiable,61.2,2025,16,false
UPSCCSEMains2013ALL.json,2013,GS1,21,21,21,91,unverifiable,53.3,2024,,false
UPSCCSEMains2013ALL.json,2013,GS1,22,22,22,87,unverifiable,61.6,2015,,false
UPSCCSEMains2013ALL.json,2013,GS1,23,23,23,88,unverifiable,56.2,2024,16,false
UPSCCSEMains2013ALL.json,2013,GS1,24,24,24,81,unverifiable,61.3,2025,18,false
UPSCCSEMains2013ALL.json,2013,GS1,25,25,25,100,unverifiable,59.6,2025,14,false
UPSCCSEMains2013ALL.json,2013,GS2,26,1,21,93,unverifiable,59.3,2015,,false
UPSCCSEMains2013ALL.json,2013,GS2,27,2,22,62,unverifiable,63.2,2025,13,false
UPSCCSEMains2013ALL.json,2013,GS2,28,3,23,115,unverifiable,53.1,2022,6,false
UPSCCSEMains2013ALL.json,2013,GS2,29,4,24,103,unverifiable,61.7,2022,16,false
