file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2013ALL.json,2013,GS1,1,1,1,208,exact,100.0,true
UPSCCSEMains2013ALL.json,2013,GS1,2,2,2,85,orphan,83.3,true
UPSCCSEMains2013ALL.json,2013,GS1,3,3,3,100,orphan,83.7,true
UPSCCSEMains2013ALL.json,2013,GS1,4,4,4,117,orphan,69.9,true
UPSCCSEMains2013ALL.json,2013,GS1,5,5,5,96,orphan,49.5,true
UPSCCSEMains2013ALL.json,2013,GS1,6,6,6,129,orphan,52.0,true
UPSCCSEMains2013ALL.json,2013,GS1,7,7,7,117,orphan,53.9,true
UPSCCSEMains2013ALL.json,2013,GS1,8,8,8,126,orphan,46.7,true
UPSCCSEMains2013ALL.json,2013,GS1,9,9,9,80,orphan,55.7,true
UPSCCSEMains2013ALL.json,2013,GS1,10,10,10,85,orphan,56.1,true
UPSCCSEMains2013ALL.json,2013,GS1,11,11,11,106,orphan,52.9,true
UPSCCSEMains2013ALL.json,2013,GS1,12,12,12,102,orphan,57.4,true
UPSCCSEMains2013ALL.json,2013,GS1,13,13,13,94,orphan,68.5,true
UPSCCSEMains2013ALL.json,2013,GS1,14,14,14,86,orphan,51.8,true
UPSCCSEMains2013ALL.json,2013,GS1,15,15,15,63,orphan,53.2,true
UPSCCSEMains2013ALL.json,2013,GS1,16,16,16,99,orphan,63.3,true
UPSCCSEMains2013ALL.json,2013,GS1,17,17,17,75,orphan,70.4,true
UPSCCSEMains2013ALL.json,2013,GS1,18,18,18,68,orphan,56.7,true
UPSCCSEMains2013ALL.json,2013,GS1,19,19,19,68,orphan,56.7,true
UPSCCSEMains2013ALL.json,2013,GS1,20,20,20,99,orphan,53.1,true
UPSCCSEMains2013ALL.json,2013,GS1,21,21,21,91,orphan,50.0,true
UPSCCSEMains2013ALL.json,2013,GS1,22,22,22,87,orphan,68.6,true
UPSCCSEMains2013ALL.json,2013,GS1,23,23,23,88,orphan,47.7,true
UPSCCSEMains2013ALL.json,2013,GS1,24,24,24,81,orphan,51.2,true
UPSCCSEMains2013ALL.json,2013,GS1,25,25,25,100,orphan,49.5,true
UPSCCSEMains2013ALL.json,2013,GS2,26,1,21,93,orphan,53.8,true
UPSCCSEMains2013ALL.json,2013,GS2,27,2,22,62,orphan,57.4,true
UPSCCSEMains2013ALL.json,2013,GS2,28,3,23,115,orphan,51.3,true
UPSCCSEMains2013ALL.json,2013,GS2,29,4,24,103,orphan,51.0,true
UPSCCSEMains2013ALL.json,2013,GS2,30,5,25,87,orphan,60.5,true
UPSCCSEMains2013ALL.json,2013,GS2,31,6,26,128,orphan,50.0,true
UPSCCSEMains2013ALL.json,2013,GS2,32,7,27,120,orphan,49.1,true
UPSCCSEMains2013ALL.json,2013,GS2,33,8,28,95,orphan,51.1,true
UPSCCSEMains2013ALL.json,2013,GS2,34,9,29,95,orphan,52.2,true
UPSCCSEMains2013ALL.json,2013,GS2,35,10,30,121,orphan,51.7,true
UPSCCSEMains2013ALL.json,2013,GS2,36,11,31,120,orphan,49.6,true
UPSCCSEMains2013ALL.json,2013,GS2,37,12,32,102,orphan,53.5,true
UPSCCSEMains2013ALL.json,2013,GS2,38,13,33,122,orphan,51.2,true
UPSCCSEMains2013ALL.json,2013,GS2,39,14,34,104,orphan,50.0,true
UPSCCSEMains2013ALL.json,2013,GS2,40,15,35,134,orphan,48.9,true
UPSCCSEMains2013ALL.json,2013,GS2,41,16,36,84,orphan,53.0,true
UPSCCSEMains2013ALL.json,2013,GS2,42,17,37,71,orphan,51.4,true
UPSCCSEMains2013ALL.json,2013,GS2,43,18,38,95,orphan,51.1,true
UPSCCSEMains2013ALL.json,2013,GS2,44,19,39,121,orphan,48.7,true
UPSCCSEMains2013ALL.json,2013,GS2,45,20,40,117,orphan,50.0,true
UPSCCSEMains2013ALL.json,2013,GS2,46,21,41,102,orphan,54.5,true
UPSCCSEMains2013ALL.json,2013,GS2,47,22,42,114,orphan,52.7,true
UPSCCSEMains2013ALL.json,2013,GS2,48,23,43,109,orphan,50.9,true
UPSCCSEMains2013ALL.json,2013,GS2,49,24,44,99,orphan,51.0,true
UPSCCSEMains2013ALL.json,2013,GS2,50,25,45,95,orphan,52.1,true
UPSCCSEMains2013ALL.json,2013,GS3,51,1,41,130,orphan,52.8,true
UPSCCSEMains2013ALL.json,2013,GS3,52,2,42,132,orphan,48.1,true
UPSCCSEMains2013ALL.json,2013,GS3,53,3,43,94,orphan,51.6,true
UPSCCSEMains2013ALL.json,2013,GS3,54,4,44,96,orphan,52.1,true
UPSCCSEMains2013ALL.json,2013,GS3,55,5,45,103,orphan,52.9,true
UPSCCSEMains2013ALL.json,2013,GS3,56,6,46,110,orphan,50.5,true
UPSCCSEMains2013ALL.json,2013,GS3,57,7,47,108,orphan,49.1,true
UPSCCSEMains2013ALL.json,2013,GS3,58,8,48,136,orphan,48.1,true
UPSCCSEMains2013ALL.json,2013,GS3,59,9,49,88,orphan,51.7,true
UPSCCSEMains2013ALL.json,2013,GS3,60,10,50,131,orphan,49.6,true
UPSCCSEMains2013ALL.json,2013,GS3,61,11,51,111,orphan,49.1,true
UPSCCSEMains2013ALL.json,2013,GS3,62,12,52,110,orphan,51.4,true
UPSCCSEMains2013ALL.json,2013,GS3,63,13,53,133,orphan,51.5,true
UPSCCSEMains2013ALL.json,2013,GS3,64,14,54,121,orphan,52.1,true
UPSCCSEMains2013ALL.json,2013,GS3,65,15,55,122,orphan,49.2,true
UPSCCSEMains2013ALL.json,2013,GS3,66,16,56,129,orphan,54.7,true
UPSCCSEMains2013ALL.json,2013,GS3,67,17,57,116,orphan,50.0,true
UPSCCSEMains2013ALL.json,2013,GS3,68,18,58,124,orphan,49.6,true
UPSCCSEMains2013ALL.json,2013,GS3,69,19,59,85,orphan,59.5,true
UPSCCSEMains2013ALL.json,2013,GS3,70,20,60,116,orphan,48.2,true
UPSCCSEMains2013ALL.json,2013,GS3,71,21,61,117,orphan,48.7,true
UPSCCSEMains2013ALL.json,2013,GS3,72,22,62,106,orphan,49.5,true
UPSCCSEMains2013ALL.json,2013,GS3,73,23,63,130,orphan,52.3,true
