"question_id","year","question_number","source_ref"
,"2025","450","ANTH-P2-2025-1a"
,"2025","451","ANTH-P2-2025-1b"
,"2025","452","ANTH-P2-2025-1c"
,"2025","453","ANTH-P2-2025-1d"
,"2025","454","ANTH-P2-2025-1e"
,"2025","455","ANTH-P2-2025-2a"
,"2025","456","ANTH-P2-2025-2b"
,"2025","457","ANTH-P2-2025-2c"
,"2025","458","ANTH-P2-2025-3a"
,"2025","459","ANTH-P2-2025-3b"
,"2025","460","ANTH-P2-2025-3c"
,"2025","461","ANTH-P2-2025-4a"
,"2025","462","ANTH-P2-2025-4b"
,"2025","463","ANTH-P2-2025-4c"
,"2025","464","ANTH-P2-2025-5a"
,"2025","465","ANTH-P2-2025-5b"
,"2025","466","ANTH-P2-2025-5c"
,"2025","467","ANTH-P2-2025-5d"
,"2025","468","ANTH-P2-2025-5e"
,"2025","469","ANTH-P2-2025-6a"
,"2025","470","ANTH-P2-2025-6b"
,"2025","471","ANTH-P2-2025-6c"
,"2025","472","ANTH-P2-2025-7a"
,"2025","473","ANTH-P2-2025-7b"
,"2025","474","ANTH-P2-2025-7c"
,"2025","475","ANTH-P2-2025-8a"
,"2025","476","ANTH-P2-2025-8b"
,"2025","477","ANTH-P2-2025-8c"
,"2024","450","ANTH-P2-2024-1a"
,"2024","451","ANTH-P2-2024-1b"
,"2024","452","ANTH-P2-2024-1c"
,"2024","453","ANTH-P2-2024-1d"
,"2024","454","ANTH-P2-2024-1e"
,"2024","455","ANTH-P2-2024-2a"
,"2024","456","ANTH-P2-2024-2b"
,"2024","457","ANTH-P2-2024-2c"
,"2024","458","ANTH-P2-2024-3a"
,"2024","459","ANTH-P2-2024-3b"
,"2024","460","ANTH-P2-2024-3c"
,"2024","461","ANTH-P2-2024-4a"
,"2024","462","ANTH-P2-2024-4b"
,"2024","463","ANTH-P2-2024-4c"
,"2024","464","ANTH-P2-2024-5a"
,"2024","465","ANTH-P2-2024-5b"
,"2024","466","ANTH-P2-2024-5c"
,"2024","467","ANTH-P2-2024-5d"
,"2024","468","ANTH-P2-2024-5e"
,"2024","469","ANTH-P2-2024-6a"
,"2024","470","ANTH-P2-2024-6b"
,"2024","471","ANTH-P2-2024-6c"
,"2024","472","ANTH-P2-2024-7a"
,"2024","473","ANTH-P2-2024-7b"
,"2024","474","ANTH-P2-2024-7c"
,"2024","475","ANTH-P2-2024-8a"
,"2024","476","ANTH-P2-2024-8b"
,"2024","477","ANTH-P2-2024-8c"
,"2023","450","ANTH-P2-2023-1a"
,"2023","451","ANTH-P2-2023-1b"
,"2023","452","ANTH-P2-2023-1c"
,"2023","453","ANTH-P2-2023-1d"
,"2023","454","ANTH-P2-2023-1e"
