"question_id","year","question_number","source_ref"
,"2025","600","GEOG-P1-2025-1a"
,"2025","601","GEOG-P1-2025-1b"
,"2025","602","GEOG-P1-2025-1c"
,"2025","603","GEOG-P1-2025-1d"
,"2025","604","GEOG-P1-2025-1e"
,"2025","605","GEOG-P1-2025-2a"
,"2025","606","GEOG-P1-2025-2b"
,"2025","607","GEOG-P1-2025-2c"
,"2025","608","GEOG-P1-2025-3a"
,"2025","609","GEOG-P1-2025-3b"
,"2025","610","GEOG-P1-2025-3c"
,"2025","611","GEOG-P1-2025-4a"
,"2025","612","GEOG-P1-2025-4b"
,"2025","613","GEOG-P1-2025-4c"
,"2025","614","GEOG-P1-2025-5a"
,"2025","615","GEOG-P1-2025-5b"
,"2025","616","GEOG-P1-2025-5c"
,"2025","617","GEOG-P1-2025-5d"
,"2025","618","GEOG-P1-2025-5e"
,"2025","619","GEOG-P1-2025-6a"
,"2025","620","GEOG-P1-2025-6b"
,"2025","621","GEOG-P1-2025-6c"
,"2025","622","GEOG-P1-2025-7a"
,"2025","623","GEOG-P1-2025-7b"
,"2025","624","GEOG-P1-2025-7c"
,"2025","625","GEOG-P1-2025-8a"
,"2025","626","GEOG-P1-2025-8b"
,"2025","627","GEOG-P1-2025-8c"
,"2024","600","GEOG-P1-2024-1a"
,"2024","601","GEOG-P1-2024-1b"
,"2024","602","GEOG-P1-2024-1c"
,"2024","603","GEOG-P1-2024-1d"
,"2024","604","GEOG-P1-2024-1e"
,"2024","605","GEOG-P1-2024-2a"
,"2024","606","GEOG-P1-2024-2b"
,"2024","607","GEOG-P1-2024-2c"
,"2024","608","GEOG-P1-2024-3a"
,"2024","609","GEOG-P1-2024-3b"
,"2024","610","GEOG-P1-2024-3c"
,"2024","611","GEOG-P1-2024-4a"
,"2024","612","GEOG-P1-2024-4b"
,"2024","613","GEOG-P1-2024-4c"
,"2024","614","GEOG-P1-2024-5a"
,"2024","615","GEOG-P1-2024-5b"
,"2024","616","GEOG-P1-2024-5c"
,"2024","617","GEOG-P1-2024-5d"
,"2024","618","GEOG-P1-2024-5e"
,"2024","619","GEOG-P1-2024-6a"
,"2024","620","GEOG-P1-2024-6b"
,"2024","621","GEOG-P1-2024-6c"
,"2024","622","GEOG-P1-2024-7a"
,"2024","623","GEOG-P1-2024-7b"
,"2024","624","GEOG-P1-2024-7c"
,"2024","625","GEOG-P1-2024-8a"
,"2024","626","GEOG-P1-2024-8b"
,"2024","627","GEOG-P1-2024-8c"
,"2023","600","GEOG-P1-2023-1a"
,"2023","601","GEOG-P1-2023-1b"
,"2023","602","GEOG-P1-2023-1c"
,"2023","603","GEOG-P1-2023-1d"
,"2023","604","GEOG-P1-2023-1e"
,"2023","605","GEOG-P1-2023-2a"
,"2023","606","GEOG-P1-2023-2b"
,"2023","607","GEOG-P1-2023-2c"
,"2023","608","GEOG-P1-2023-3a"
,"2023","609","GEOG-P1-2023-3b"
,"2023","610","GEOG-P1-2023-3c"
,"2023","611","GEOG-P1-2023-4a"
,"2023","612","GEOG-P1-2023-4b"
,"2023","613","GEOG-P1-2023-4c"
,"2023","614","GEOG-P1-2023-5a"
,"2023","615","GEOG-P1-2023-5b"
,"2023","616","GEOG-P1-2023-5c"
,"2023","617","GEOG-P1-2023-5e"
,"2023","618","GEOG-P1-2023-6a"
