"question_id","year","question_number","source_ref"
,"2025","508","HIST-P1-2025-1(ix)"
,"2025","509","HIST-P1-2025-1(x)"
,"2025","510","HIST-P1-2025-1(xi)"
,"2025","511","HIST-P1-2025-1(xii)"
,"2025","512","HIST-P1-2025-1(xiii)"
,"2025","513","HIST-P1-2025-1(xiv)"
,"2025","514","HIST-P1-2025-1(xv)"
,"2025","515","HIST-P1-2025-1(xvi)"
,"2025","516","HIST-P1-2025-1(xvii)"
,"2025","517","HIST-P1-2025-1(xviii)"
,"2025","518","HIST-P1-2025-1(xix)"
,"2025","519","HIST-P1-2025-1(xx)"
,"2025","520","HIST-P1-2025-2a"
,"2025","521","HIST-P1-2025-2b"
,"2025","522","HIST-P1-2025-2c"
,"2025","523","HIST-P1-2025-3a"
,"2025","524","HIST-P1-2025-3b"
,"2025","525","HIST-P1-2025-3c"
,"2025","526","HIST-P1-2025-4a"
,"2025","527","HIST-P1-2025-4b"
,"2025","528","HIST-P1-2025-4c"
,"2025","529","HIST-P1-2025-5a"
,"2025","530","HIST-P1-2025-5b"
,"2025","531","HIST-P1-2025-5c"
,"2025","532","HIST-P1-2025-5d"
,"2025","533","HIST-P1-2025-5e"
,"2025","534","HIST-P1-2025-6a"
,"2025","535","HIST-P1-2025-6b"
,"2025","536","HIST-P1-2025-6c"
,"2025","537","HIST-P1-2025-7a"
,"2025","538","HIST-P1-2025-7b"
,"2025","539","HIST-P1-2025-7c"
,"2025","540","HIST-P1-2025-8a"
,"2025","541","HIST-P1-2025-8b"
,"2025","542","HIST-P1-2025-8c"
,"2024","500","HIST-P1-2024-1(i)"
,"2024","501","HIST-P1-2024-1(ii)"
,"2024","502","HIST-P1-2024-1(iii)"
,"2024","503","HIST-P1-2024-1(iv)"
,"2024","504","HIST-P1-2024-1(v)"
,"2024","505","HIST-P1-2024-1(vi)"
,"2024","506","HIST-P1-2024-1(vii)"
,"2024","507","HIST-P1-2024-1(viii)"
,"2024","508","HIST-P1-2024-1(ix)"
,"2024","509","HIST-P1-2024-1(x)"
,"2024","510","HIST-P1-2024-1(xi)"
,"2024","511","HIST-P1-2024-1(xii)"
,"2024","512","HIST-P1-2024-1(xiii)"
,"2024","513","HIST-P1-2024-1(xiv)"
,"2024","514","HIST-P1-2024-1(xv)"
,"2024","515","HIST-P1-2024-1(xvi)"
,"2024","516","HIST-P1-2024-1(xvii)"
,"2024","517","HIST-P1-2024-1(xviii)"
,"2024","518","HIST-P1-2024-1(xix)"
,"2024","519","HIST-P1-2024-1(xx)"
,"2024","520","HIST-P1-2024-2a"
,"2024","521","HIST-P1-2024-2b"
,"2024","522","HIST-P1-2024-2c"
,"2024","523","HIST-P1-2024-3a"
,"2024","524","HIST-P1-2024-3b"
,"2024","525","HIST-P1-2024-3c"
,"2024","526","HIST-P1-2024-4a"
,"2024","527","HIST-P1-2024-4b"
,"2024","528","HIST-P1-2024-4c"
,"2024","529","HIST-P1-2024-5a"
,"2024","530","HIST-P1-2024-5b"
,"2024","531","HIST-P1-2024-5c"
,"2024","532","HIST-P1-2024-5d"
,"2024","533","HIST-P1-2024-5e"
,"2024","534","HIST-P1-2024-6a"
,"2024","535","HIST-P1-2024-6b"
,"2024","536","HIST-P1-2024-6c"
,"2024","537","HIST-P1-2024-7a"
,"2024","538","HIST-P1-2024-7b"
,"2024","539","HIST-P1-2024-7c"
,"2024","540","HIST-P1-2024-8a"
,"2024","541","HIST-P1-2024-8b"
,"2024","542","HIST-P1-2024-8c"
,"2023","500","HIST-P1-2023-1(i)"
,"2023","501","HIST-P1-2023-1(ii)"
,"2023","502","HIST-P1-2023-1(iii)"
,"2023","503","HIST-P1-2023-1(iv)"
,"2023","504","HIST-P1-2023-1(v)"
,"2023","505","HIST-P1-2023-1(vi)"
,"2023","506","HIST-P1-2023-1(vii)"
,"2023","507","HIST-P1-2023-1(viii)"
,"2023","508","HIST-P1-2023-1(ix)"
,"2023","509","HIST-P1-2023-1(x)"
,"2023","510","HIST-P1-2023-1(xi)"
,"2023","511","HIST-P1-2023-1(xii)"
,"2023","512","HIST-P1-2023-1(xiii)"
,"2023","513","HIST-P1-2023-1(xiv)"
,"2023","514","HIST-P1-2023-1(xv)"
,"2023","515","HIST-P1-2023-1(xvi)"
