"question_id","year","question_number","source_ref"
,"2025","250","PUBAD-P2-2025-1a"
,"2025","251","PUBAD-P2-2025-1b"
,"2025","252","PUBAD-P2-2025-1c"
,"2025","253","PUBAD-P2-2025-1d"
,"2025","254","PUBAD-P2-2025-1e"
,"2025","255","PUBAD-P2-2025-2a"
,"2025","256","PUBAD-P2-2025-2b"
,"2025","257","PUBAD-P2-2025-2c"
,"2025","258","PUBAD-P2-2025-3a"
,"2025","259","PUBAD-P2-2025-3b"
,"2025","260","PUBAD-P2-2025-3c"
,"2025","261","PUBAD-P2-2025-4a"
,"2025","262","PUBAD-P2-2025-4b"
,"2025","263","PUBAD-P2-2025-4c"
,"2025","264","PUBAD-P2-2025-5a"
,"2025","265","PUBAD-P2-2025-5b"
,"2025","266","PUBAD-P2-2025-5c"
,"2025","267","PUBAD-P2-2025-5d"
,"2025","268","PUBAD-P2-2025-5e"
,"2025","269","PUBAD-P2-2025-6a"
,"2025","270","PUBAD-P2-2025-6b"
,"2025","271","PUBAD-P2-2025-6c"
,"2025","272","PUBAD-P2-2025-7a"
,"2025","273","PUBAD-P2-2025-7b"
,"2025","274","PUBAD-P2-2025-7c"
,"2025","275","PUBAD-P2-2025-8a"
,"2025","276","PUBAD-P2-2025-8b"
,"2025","277","PUBAD-P2-2025-8c"
,"2024","250","PUBAD-P2-2024-1a"
,"2024","251","PUBAD-P2-2024-1b"
,"2024","252","PUBAD-P2-2024-1c"
,"2024","253","PUBAD-P2-2024-1d"
,"2024","254","PUBAD-P2-2024-1e"
,"2024","255","PUBAD-P2-2024-2a"
,"2024","256","PUBAD-P2-2024-2b"
,"2024","257","PUBAD-P2-2024-2c"
,"2024","258","PUBAD-P2-2024-3a"
,"2024","259","PUBAD-P2-2024-3b"
,"2024","260","PUBAD-P2-2024-3c"
,"2024","261","PUBAD-P2-2024-4a"
,"2024","262","PUBAD-P2-2024-4b"
,"2024","263","PUBAD-P2-2024-4c"
,"2024","264","PUBAD-P2-2024-5a"
,"2024","265","PUBAD-P2-2024-5b"
,"2024","266","PUBAD-P2-2024-5c"
,"2024","267","PUBAD-P2-2024-5d"
,"2024","268","PUBAD-P2-2024-5e"
,"2024","269","PUBAD-P2-2024-6a"
,"2024","270","PUBAD-P2-2024-6b"
,"2024","271","PUBAD-P2-2024-6c"
,"2024","272","PUBAD-P2-2024-7a"
,"2024","273","PUBAD-P2-2024-7b"
,"2024","274","PUBAD-P2-2024-7c"
,"2024","275","PUBAD-P2-2024-8a"
,"2024","276","PUBAD-P2-2024-8b"
,"2024","277","PUBAD-P2-2024-8c"
,"2023","250","PUBAD-P2-2023-1a"
,"2023","251","PUBAD-P2-2023-1b"
,"2023","252","PUBAD-P2-2023-1c"
,"2023","253","PUBAD-P2-2023-1d"
,"2023","254","PUBAD-P2-2023-1e"
,"2023","255","PUBAD-P2-2023-2a"
,"2023","256","PUBAD-P2-2023-2b"
,"2023","257","PUBAD-P2-2023-2c"
,"2023","258","PUBAD-P2-2023-3a"
,"2023","259","PUBAD-P2-2023-3b"
,"2023","260","PUBAD-P2-2023-3c"
,"2023","261","PUBAD-P2-2023-4a"
,"2023","262","PUBAD-P2-2023-4b"
,"2023","263","PUBAD-P2-2023-4c"
,"2023","264","PUBAD-P2-2023-5a"
,"2023","265","PUBAD-P2-2023-5b"
,"2023","266","PUBAD-P2-2023-5c"
,"2023","267","PUBAD-P2-2023-5d"
,"2023","268","PUBAD-P2-2023-5e"
,"2023","269","PUBAD-P2-2023-6a"
,"2023","270","PUBAD-P2-2023-6b"
,"2023","271","PUBAD-P2-2023-6c"
,"2023","272","PUBAD-P2-2023-7a"
,"2023","273","PUBAD-P2-2023-7b"
,"2023","274","PUBAD-P2-2023-7c"
,"2023","275","PUBAD-P2-2023-8a"
