"question_id","year","question_number","source_ref"
,"2014","372","SOCIO-P2-2014-6d"
,"2014","374","SOCIO-P2-2014-7a"
,"2014","375","SOCIO-P2-2014-7b"
,"2014","376","SOCIO-P2-2014-7c"
,"2014","377","SOCIO-P2-2014-8a"
,"2014","378","SOCIO-P2-2014-8b"
,"2014","379","SOCIO-P2-2014-8c"
,"2013","350","SOCIO-P2-2013-1a"
,"2013","351","SOCIO-P2-2013-1b"
,"2013","352","SOCIO-P2-2013-1c"
,"2013","353","SOCIO-P2-2013-1d"
,"2013","354","SOCIO-P2-2013-1e"
,"2013","355","SOCIO-P2-2013-2a"
,"2013","356","SOCIO-P2-2013-2b"
,"2013","357","SOCIO-P2-2013-2c"
,"2013","358","SOCIO-P2-2013-3a"
,"2013","359","SOCIO-P2-2013-3b"
,"2013","360","SOCIO-P2-2013-3c"
,"2013","361","SOCIO-P2-2013-4a"
,"2013","362","SOCIO-P2-2013-4b"
,"2013","363","SOCIO-P2-2013-4c"
,"2013","364","SOCIO-P2-2013-5a"
,"2013","365","SOCIO-P2-2013-5b"
,"2013","366","SOCIO-P2-2013-5c"
,"2013","367","SOCIO-P2-2013-5d"
,"2013","368","SOCIO-P2-2013-5e"
,"2013","369","SOCIO-P2-2013-6a"
,"2013","370","SOCIO-P2-2013-6b"
,"2013","371","SOCIO-P2-2013-6c"
,"2013","372","SOCIO-P2-2013-7a"
,"2013","373","SOCIO-P2-2013-7b"
,"2013","374","SOCIO-P2-2013-7c"
,"2013","375","SOCIO-P2-2013-8a"
,"2013","376","SOCIO-P2-2013-8b"
,"2013","377","SOCIO-P2-2013-8c"
